Service Request (SR) Number,SR Type Code,SR Description,Owning Department,Method Received,SR Status,Status Change Date,Created Date,Last Update Date,Close Date,SR Location,Street Number,Street Name,City,Zip Code,County,State Plane X Coordinate,State Plane Y Coordinate,Latitude Coordinate,Longitude Coordinate,(Latitude.Longitude),Council District,Map Page,Map Tile,Calculated Council District
14-00099725,ACBITE2,Animal Bite,Animal Services Office,Phone,Closed,05/30/2014 05:48:32 PM,05/24/2014 03:34:12 PM,05/30/2014 04:50:39 PM,05/30/2014 05:48:32 PM,"302 HOLLIDAY CT, AUSTIN, TX",302,HOLLIDAY,AUSTIN,78753,TRAVIS,3131290.13818661,10107987.2029165,30.36931656,-97.68623767,"(30.36931656, -97.68623767)",4,496Y,MM31,4
14-00103944,ACINFORM,Animal Control - Assistance Request,Animal Services Office,Phone,Closed,05/30/2014 05:48:32 PM,05/30/2014 01:51:45 PM,05/30/2014 04:50:38 PM,05/30/2014 05:48:32 PM,"1132 DENFIELD ST, AUSTIN, TX",1132,DENFIELD,AUSTIN,78721,TRAVIS,3131106.47863657,10072772.2890376,30.27252906,-97.68947359,"(30.27252906, -97.68947359)",3,586T,ML22,3
14-00104111,SWSRECYC,ARR Missed Recycling,Austin Resource Recovery,Phone,New,05/30/2014 04:48:54 PM,05/30/2014 04:48:54 PM,05/30/2014 04:48:54 PM,,"1901 W 36TH ST, AUSTIN, TX",1901,36TH,AUSTIN,78731,TRAVIS,3110299.63613802,10085719.7382739,30.30946237,-97.75441723,"(30.30946237, -97.75441723)",10,554R,MH26,10
14-00104110,SBPAVEFA,Pavement Failure,Public Works,Phone,New,05/30/2014 04:48:40 PM,05/30/2014 04:48:40 PM,05/30/2014 04:48:40 PM,,"3408 LARRY LN, AUSTIN, TX",3408,LARRY,AUSTIN,78722,TRAVIS,3123463.90737998,10078409.5357251,30.28852199,-97.71325652,"(30.28852199, -97.71325652)",9,585H,MK24,9
14-00104108,SWSRECYC,ARR Missed Recycling,Austin Resource Recovery,Phone,New,05/30/2014 04:47:01 PM,05/30/2014 04:47:01 PM,05/30/2014 04:47:01 PM,,"4612 MILBURN LN, AUSTIN, TX",4612,MILBURN,AUSTIN,78702,TRAVIS,3128137.4893162,10067875.3307791,30.25926186,-97.69924344,"(30.25926186, -97.69924344)",3,616A,ML21,3
14-00102297,CODECOMP,Code Compliance,Code Compliance,Phone,Closed,05/30/2014 04:46:47 PM,05/28/2014 03:24:11 PM,05/30/2014 04:46:48 PM,05/30/2014 04:46:47 PM,"5109 DUVAL RD, AUSTIN, TX",5109,DUVAL,AUSTIN,78759,TRAVIS,3113953.03385031,10124710.2719326,30.41640842,-97.73996234,"(30.41640842, -97.73996234)",6,465N,MJ35,6
14-00104041,ACINFORM,Animal Control - Assistance Request,Animal Services Office,Phone,Closed,05/30/2014 05:43:31 PM,05/30/2014 03:28:09 PM,05/30/2014 04:45:38 PM,05/30/2014 05:43:31 PM,"4706 SANTA ANNA ST, AUSTIN, TX",4706,SANTA ANNA,AUSTIN,78721,TRAVIS,3131792.32354966,10073695.5787554,30.27502217,-97.68723201,"(30.27502217, -97.68723201)",1,586Q,MM23,1
14-00104104,ACLONAG,Loose Dog,Animal Services Office,Phone,Open,05/30/2014 04:44:32 PM,05/30/2014 04:44:32 PM,05/30/2014 04:44:32 PM,,"7513 LAZY CREEK DR B, AUSTIN, TX",7513,LAZY CREEK,AUSTIN,78724,TRAVIS,3141261.40000001,10088868.41,30.31610647,-97.656087,"(30.31610647, -97.656087)",1,557K,MN26,1
14-00102298,CODECOMP,Code Compliance,Code Compliance,Phone,Closed,05/30/2014 04:43:35 PM,05/28/2014 03:25:11 PM,05/30/2014 04:43:36 PM,05/30/2014 04:43:35 PM,"7206 BLESSING AVE, AUSTIN, TX",7206,BLESSING,AUSTIN,78752,TRAVIS,3128876.19992757,10093247.6985268,30.32895788,-97.69499849,"(30.32895788, -97.69499849)",4,556B,ML27,4
14-00104086,OBSTMIDB,Obstruction in ROW,Public Works,Phone,Open,05/30/2014 04:42:47 PM,05/30/2014 04:21:12 PM,05/30/2014 04:42:48 PM,,"8909 BRIARDALE DR, AUSTIN, TX",8909,BRIARDALE,AUSTIN,78758,TRAVIS,3122526.75,10106311,30.36527926,-97.7141437,"(30.36527926, -97.7141437)",4,525D,MK30,4
14-00102351,CODECOMP,Code Compliance,Code Compliance,Phone,Closed,05/30/2014 04:41:34 PM,05/28/2014 04:04:50 PM,05/30/2014 04:41:35 PM,05/30/2014 04:41:34 PM,"1400 E APPLEGATE DR, AUSTIN, TX",1400,APPLEGATE,AUSTIN,78753,TRAVIS,3136420.41922402,10105835.8170759,30.36306612,-97.67013758,"(30.36306612, -97.67013758)",1,526D,MM30,1
14-00103839,ACINFORM,Animal Control - Assistance Request,Animal Services Office,Phone,Closed,05/30/2014 05:38:31 PM,05/30/2014 11:31:13 AM,05/30/2014 04:40:37 PM,05/30/2014 05:38:31 PM,"2209 LAKEHURST RD, LAKEWAY, TX",2209,LAKEHURST,LAKEWAY,78669,TRAVIS,3024397.0021541,10105716.7560544,30.36962082,-98.02527149,"(30.36962082, -98.02527149)",,488X,WU31,
14-00102359,CODECOMP,Code Compliance,Code Compliance,Phone,Closed,05/30/2014 04:39:23 PM,05/28/2014 04:07:46 PM,05/30/2014 04:39:24 PM,05/30/2014 04:39:23 PM,"1200 VARGAS RD, AUSTIN, TX",1200,VARGAS,AUSTIN,78741,TRAVIS,3129157.57172951,10057243.7267393,30.22997112,-97.6968114,"(30.22997112, -97.6968114)",3,616X,ML19,3
14-00104006,ZZANIMAL,Lost Item in Storm Drainage System,Watershed Protection,Phone,Closed,05/30/2014 04:38:24 PM,05/30/2014 02:52:00 PM,05/30/2014 04:38:25 PM,05/30/2014 04:38:24 PM,"11801 TANGLEBRIAR TRL, AUSTIN, TX",11801,TANGLEBRIAR,AUSTIN,78750,WILLIAMSON,3087962.91899316,10138874.1127641,30.45698293,-97.82138132,"(30.45698293, -97.82138132)",6,433K,ME38,6
14-00102369,CODECOMP,Code Compliance,Code Compliance,Phone,Closed,05/30/2014 04:37:42 PM,05/28/2014 04:10:44 PM,05/30/2014 04:37:43 PM,05/30/2014 04:37:42 PM,"1901 VARGAS RD, AUSTIN, TX",1901,VARGAS,AUSTIN,78741,TRAVIS,3127910.21582167,10055115.4688566,30.22420216,-97.70091939,"(30.22420216, -97.70091939)",3,646A,ML18,3
14-00102371,CODECOMP,Code Compliance,Code Compliance,Phone,Closed,05/30/2014 04:36:14 PM,05/28/2014 04:13:24 PM,05/30/2014 04:36:15 PM,05/30/2014 04:36:14 PM,"2000 THRASHER LN, AUSTIN, TX",2000,THRASHER,AUSTIN,78741,TRAVIS,3128250.97963531,10054791.9153668,30.22329059,-97.69986501,"(30.22329059, -97.69986501)",3,646A,ML18,3
14-00102372,CODECOMP,Code Compliance,Code Compliance,Web,Closed,05/30/2014 04:34:17 PM,05/28/2014 04:14:47 PM,05/30/2014 04:34:18 PM,05/30/2014 04:34:17 PM,"1607 ULIT AVE, AUSTIN, TX 78702",1607,ULIT,AUSTIN,78702,TRAVIS,3124037.75,10074831,30.27864804,-97.71170608,"(30.27864804, -97.71170608)",1,585R,MK23,1
14-00104101,SWSRECYC,ARR Missed Recycling,Austin Resource Recovery,Phone,New,05/30/2014 04:34:11 PM,05/30/2014 04:34:11 PM,05/30/2014 04:34:11 PM,,"5003 BUNDYHILL DR, AUSTIN, TX",5003,BUNDYHILL,AUSTIN,78723,TRAVIS,3135497.40559018,10079912.5624592,30.29186863,-97.67502747,"(30.29186863, -97.67502747)",1,586D,MM24,1
14-00104085,SBDEBROW,Debris in Street,Public Works,Phone,Open,05/30/2014 04:33:51 PM,05/30/2014 04:19:58 PM,05/30/2014 04:33:52 PM,,"8909 BRIARDALE DR, AUSTIN, TX",8909,BRIARDALE,AUSTIN,78758,TRAVIS,3122526.75,10106311,30.36527926,-97.7141437,"(30.36527926, -97.7141437)",4,525D,MK30,4
14-00104100,CODECOMP,Code Compliance,Code Compliance,Phone,New,05/30/2014 04:33:09 PM,05/30/2014 04:33:09 PM,05/30/2014 04:33:09 PM,,"HUEBINGER PASS & DAVIS LN, AUSTIN, TX",,HUEBINGER PASS & DAVIS LN,AUSTIN,78745,TRAVIS,3088466.69,10042079.09,30.19087207,-97.8267048,"(30.19087207, -97.8267048)",5,673A,ME15,5
14-00104099,ACLONAG,Loose Dog,Animal Services Office,Phone,Open,05/30/2014 04:32:58 PM,05/30/2014 04:32:58 PM,05/30/2014 04:32:58 PM,,"521 CELERY LOOP, AUSTIN, TX",521,CELERY,AUSTIN,78748,TRAVIS,3100498.64847733,10037211.7892078,30.17674152,-97.78898435,"(30.17674152, -97.78898435)",2,674J,MG14,2
14-00104098,CODECOMP,Code Compliance,Code Compliance,Phone,New,05/30/2014 04:32:44 PM,05/30/2014 04:32:44 PM,05/30/2014 04:32:44 PM,,"11942 DORSETT RD, AUSTIN, TX",11942,DORSETT,AUSTIN,78759,TRAVIS,3118106.32554662,10123922.3265863,30.41397559,-97.72684805,"(30.41397559, -97.72684805)",7,465U,MK34,7
14-00102374,CODECOMP,Code Compliance,Code Compliance,Phone,Closed,05/30/2014 04:31:59 PM,05/28/2014 04:16:24 PM,05/30/2014 04:32:00 PM,05/30/2014 04:31:59 PM,"2001 MAXWELL LN, AUSTIN, TX",2001,MAXWELL,AUSTIN,78741,TRAVIS,3128898.01216411,10054500.8150448,30.22244829,-97.69783879,"(30.22244829, -97.69783879)",3,646B,ML18,3
14-00103967,COAACBAT,Bat Complaint,Animal Services Office,Phone,Closed,05/30/2014 05:28:30 PM,05/30/2014 02:05:42 PM,05/30/2014 04:30:37 PM,05/30/2014 05:28:30 PM,"4000 S IH 35 SVRD SB, AUSTIN, TX",4000,35,AUSTIN,78704,TRAVIS,3112097.57888924,10052494.0056238,30.21801517,-97.75116492,"(30.21801517, -97.75116492)",3,644H,MH18,3
14-00102377,CODECOMP,Code Compliance,Code Compliance,Phone,Closed,05/30/2014 04:30:19 PM,05/28/2014 04:20:03 PM,05/30/2014 04:30:20 PM,05/30/2014 04:30:19 PM,"7003 E RIVERSIDE DR, AUSTIN, TX",7003,RIVERSIDE,AUSTIN,78741,TRAVIS,3129315.8142027,10054281.6149684,30.22181853,-97.69653278,"(30.22181853, -97.69653278)",3,646B,ML18,3
14-00104097,CODECOMP,Code Compliance,Code Compliance,Phone,New,05/30/2014 04:30:12 PM,05/30/2014 04:30:12 PM,05/30/2014 04:30:12 PM,,"915 E HOWARD LN, AUSTIN, TX",915,HOWARD,AUSTIN,78753,TRAVIS,3142181.20999999,10123536.48,30.41134136,-97.65052323,"(30.41134136, -97.65052323)",7,467T,MN34,7
14-00103980,ARRBRUBU,ARR Brush and Bulk,Austin Resource Recovery,Phone,Open,05/30/2014 04:30:05 PM,05/30/2014 02:16:51 PM,05/30/2014 04:30:06 PM,,"10705 BARNHILL DR, AUSTIN, TX",10705,BARNHILL,AUSTIN,78758,TRAVIS,3127875.22181129,10111582.2133137,30.3794216,-97.69679312,"(30.3794216, -97.69679312)",4,496P,ML32,4
14-00102402,CODECOMP,Code Compliance,Code Compliance,Phone,Closed,05/30/2014 04:28:10 PM,05/28/2014 04:53:43 PM,05/30/2014 04:28:10 PM,05/30/2014 04:28:10 PM,"4411 GUADALUPE ST 12, AUSTIN, TX",4411,GUADALUPE,AUSTIN,78751,TRAVIS,3116888.81192313,10086014.3555499,30.30985055,-97.73351987,"(30.30985055, -97.73351987)",9,555P,MJ26,9
14-00104092,PRTRROWM,Tree Issue ROW/Maintenance (PARD),Parks & Recreation Department,Phone,New,05/30/2014 04:25:30 PM,05/30/2014 04:25:30 PM,05/30/2014 04:26:21 PM,,"900 CENTER RIDGE DR, AUSTIN, TX",900,CENTER RIDGE,AUSTIN,78753,TRAVIS,3136240.09000372,10125390.8572735,30.41683125,-97.66922439,"(30.41683125, -97.66922439)",7,466R,MM35,7
14-00103899,ACINFORM,Animal Control - Assistance Request,Animal Services Office,Phone,Closed,05/30/2014 05:23:30 PM,05/30/2014 12:39:23 PM,05/30/2014 04:25:36 PM,05/30/2014 05:23:30 PM,"3400 LYNRIDGE DR 1A, AUSTIN, TX",3400,LYNRIDGE,AUSTIN,78723,TRAVIS,3138414.23826725,10089228.3278757,30.31728389,-97.66508039,"(30.31728389, -97.66508039)",1,557J,MN26,1
14-00104091,ACLONAG,Loose Dog,Animal Services Office,Phone,Open,05/30/2014 04:25:12 PM,05/30/2014 04:25:12 PM,05/30/2014 04:25:12 PM,,"2811 JADEWOOD CT B, AUSTIN, TX",2811,JADEWOOD,AUSTIN,78748,TRAVIS,3084674.61591835,10037027.5234318,30.17722029,-97.83906268,"(30.17722029, -97.83906268)",5,672M,MD14,5
14-00104089,TRASIGMA,Traffic Signal - Maintenance,Transportation,Phone,New,05/30/2014 04:21:56 PM,05/30/2014 04:21:56 PM,05/30/2014 04:21:56 PM,,"7211 N CAPITAL OF TEXAS HWY NB, AUSTIN, TX",7211,CAPITAL OF TEXAS HWY NB,AUSTIN,78731,TRAVIS,3100005.27426356,10108107.5710253,30.37165586,-97.78540685,"(30.37165586, -97.78540685)",10,494W,MG31,10
14-00104088,CODECOMP,Code Compliance,Code Compliance,Phone,New,05/30/2014 04:21:25 PM,05/30/2014 04:21:25 PM,05/30/2014 04:21:25 PM,,"9024 NORTHGATE BLVD 2125, AUSTIN, TX",9024,NORTHGATE,AUSTIN,78758,TRAVIS,3121562.74002284,10107924.9943287,30.36977825,-97.71707924,"(30.36977825, -97.71707924)",4,495Z,MK31,4
14-00103918,COAACBAT,Bat Complaint,Animal Services Office,Phone,Closed,05/30/2014 05:18:30 PM,05/30/2014 01:16:52 PM,05/30/2014 04:20:36 PM,05/30/2014 05:18:30 PM,"12100 KILMARTIN LN, AUSTIN, TX",12100,KILMARTIN,AUSTIN,78653,TRAVIS,3155079.70007294,10106278.6387595,30.36304153,-97.6109564,"(30.36304153, -97.6109564)",1,528B,MQ30,1
14-00104070,ACINFORM,Animal Control - Assistance Request,Animal Services Office,Phone,Closed,05/30/2014 05:18:29 PM,05/30/2014 03:54:58 PM,05/30/2014 04:20:36 PM,05/30/2014 05:18:29 PM,"10514 COOPER HILL DR, AUSTIN, TX",10514,COOPER HILL,AUSTIN,78758,TRAVIS,3126766.56445918,10111103.0050035,30.37817653,-97.70034401,"(30.37817653, -97.70034401)",4,496S,ML31,4
14-00103598,WWREPORT,Water Waste Report,Austin Water Utility,Phone,Closed,05/30/2014 04:20:21 PM,05/30/2014 02:13:11 AM,05/30/2014 04:20:21 PM,05/30/2014 04:20:21 PM,"8305 N LAMAR BLVD, AUSTIN, TX 78753",8305,LAMAR,AUSTIN,78753,TRAVIS,3124720.5,10101386,30.35159904,-97.70755816,"(30.35159904, -97.70755816)",4,526J,ML29,4
14-00102198,CODECOMP,Code Compliance,Code Compliance,Phone,Closed,05/30/2014 04:16:36 PM,05/28/2014 01:26:41 PM,05/30/2014 04:16:38 PM,05/30/2014 04:16:36 PM,"ROWENA ST &E 51ST ST, AUSTIN, TX",,ROWENA ST &E 51ST ST,AUSTIN,78751,TRAVIS,3120197.25,10088213,30.31568126,-97.72287471,"(30.31568126, -97.72287471)",9,555L,MK26,9
14-00103512,WWREPORT,Water Waste Report,Austin Water Utility,Phone,Closed,05/30/2014 04:15:27 PM,05/29/2014 09:23:11 PM,05/30/2014 04:15:27 PM,05/30/2014 04:15:27 PM,"1801 E 51ST ST G, AUSTIN, TX 78723",1801,51ST,AUSTIN,78723,TRAVIS,3128281.90000001,10083585.43,30.30243671,-97.69760728,"(30.30243671, -97.69760728)",9,556X,ML25,9
14-00104083,SWSRECYC,ARR Missed Recycling,Austin Resource Recovery,Phone,New,05/30/2014 04:14:23 PM,05/30/2014 04:14:23 PM,05/30/2014 04:14:23 PM,,"4612 AVENUE G, AUSTIN, TX",4612,AVENUE G,AUSTIN,78751,TRAVIS,3119620.94045242,10086271.4845841,30.31038151,-97.72484494,"(30.31038151, -97.72484494)",9,555Q,MK26,9
14-00102268,CODECOMP,Code Compliance,Code Compliance,Phone,Closed,05/30/2014 04:13:29 PM,05/28/2014 02:49:17 PM,05/30/2014 04:13:30 PM,05/30/2014 04:13:29 PM,"1002 LITTLE ELM PARK, AUSTIN, TX",1002,LITTLE ELM,AUSTIN,78758,TRAVIS,3126275.39465681,10105239.3819287,30.36209034,-97.70234097,"(30.36209034, -97.70234097)",4,526A,ML30,4
14-00104082,ARRBRUBU,ARR Brush and Bulk,Austin Resource Recovery,Phone,New,05/30/2014 04:12:44 PM,05/30/2014 04:12:44 PM,05/30/2014 04:12:44 PM,,"4105 IDALIA DR, AUSTIN, TX",4105,IDALIA,AUSTIN,78749,TRAVIS,3077281.24571773,10038900.8280248,30.18282343,-97.86232292,"(30.18282343, -97.86232292)",8,672F,MC15,8
14-00103493,WWREPORT,Water Waste Report,Austin Water Utility,Phone,Closed,05/30/2014 04:12:23 PM,05/29/2014 08:43:24 PM,05/30/2014 04:12:24 PM,05/30/2014 04:12:23 PM,"2211 W BRAKER LN, AUSTIN, TX 78758",2211,BRAKER,AUSTIN,78758,TRAVIS,3123065.75,10116122,30.39221326,-97.711702,"(30.39221326, -97.711702)",4,495H,MK33,4
14-00104081,ACLONAG,Loose Dog,Animal Services Office,Phone,Open,05/30/2014 04:05:53 PM,05/30/2014 04:05:53 PM,05/30/2014 04:05:53 PM,,"4409 DOVEWOOD DR, AUSTIN, TX",4409,DOVEWOOD,AUSTIN,78744,TRAVIS,3112265.16504172,10041661.5738007,30.1882279,-97.75143041,"(30.1882279, -97.75143041)",2,674D,MH15,2
14-00104080,CODECOMP,Code Compliance,Code Compliance,Phone,New,05/30/2014 04:05:43 PM,05/30/2014 04:05:43 PM,05/30/2014 04:05:43 PM,,"1405 YORKSHIRE DR, AUSTIN, TX",1405,YORKSHIRE,AUSTIN,78723,TRAVIS,3127997.86345367,10088430.7285581,30.3157741,-97.6981434,"(30.3157741, -97.6981434)",4,556K,ML26,4
14-00104049,ACFOUND,Found Animal - Pick Up,Animal Services Office,Phone,Closed,05/30/2014 05:03:28 PM,05/30/2014 03:32:45 PM,05/30/2014 04:05:35 PM,05/30/2014 05:03:28 PM,"11912 RIVER OAKS TRL, AUSTIN, TX",11912,RIVER OAKS,AUSTIN,78753,TRAVIS,3137595.76108188,10113454.4860414,30.38393102,-97.66583267,"(30.38393102, -97.66583267)",1,497N,MN32,1
14-00104078,STREETL2,Street Light Issue- Address,Austin Energy Department,Phone,New,05/30/2014 04:04:33 PM,05/30/2014 04:04:33 PM,05/30/2014 04:04:33 PM,,"1108 STOBAUGH ST, AUSTIN, TX",1108,STOBAUGH,AUSTIN,78757,TRAVIS,3121695.95808966,10100052.1427556,30.3481284,-97.71724397,"(30.3481284, -97.71724397)",7,525R,MK29,7
14-00104077,ARRBRUBU,ARR Brush and Bulk,Austin Resource Recovery,Phone,New,05/30/2014 04:03:39 PM,05/30/2014 04:03:39 PM,05/30/2014 04:03:39 PM,,"6507 MOONGLOW DR, AUSTIN, TX",6507,MOONGLOW,AUSTIN,78724,TRAVIS,3145092.55070342,10082011.6717255,30.29700464,-97.64447392,"(30.29700464, -97.64447392)",1,587C,MP24,1
14-00102123,CODECOMP,Code Compliance,Code Compliance,Web,Closed,05/30/2014 04:03:24 PM,05/28/2014 12:13:41 PM,05/30/2014 04:03:25 PM,05/30/2014 04:03:24 PM,"2015 LEAR LN, AUSTIN, TX 78745",2015,LEAR,AUSTIN,78745,TRAVIS,3093216.75,10044286,30.19664342,-97.81151575,"(30.19664342, -97.81151575)",5,643Y,MF16,5
14-00104076,CODECOMP,Code Compliance,Code Compliance,Phone,New,05/30/2014 04:01:07 PM,05/30/2014 04:01:07 PM,05/30/2014 04:01:07 PM,,"2003 ARPDALE ST, AUSTIN, TX",2003,ARPDALE,AUSTIN,78704,TRAVIS,3103745.5643697,10063167.0267921,30.24788406,-97.7768241,"(30.24788406, -97.7768241)",5,614K,MG20,5
14-00104032,COAACINJ,Injured / Sick Animal,Animal Services Office,Phone,Closed,05/30/2014 04:58:30 PM,05/30/2014 03:16:35 PM,05/30/2014 04:00:36 PM,05/30/2014 04:58:30 PM,"11005 BURNET RD, AUSTIN, TX",11005,BURNET,AUSTIN,78758,TRAVIS,3120298.59446997,10117075.0950693,30.39501217,-97.72040528,"(30.39501217, -97.72040528)",7,495G,MK33,7
14-00104013,COAACINJ,Injured / Sick Animal,Animal Services Office,Phone,Closed,05/30/2014 04:58:29 PM,05/30/2014 03:04:13 PM,05/30/2014 04:00:35 PM,05/30/2014 04:58:29 PM,"1601 MONTOPOLIS DR 717, AUSTIN, TX",1601,MONTOPOLIS,AUSTIN,78741,TRAVIS,3127708.71424426,10056474.9658458,30.22795227,-97.70145538,"(30.22795227, -97.70145538)",3,616W,ML19,3
14-00104038,COAACBAT,Bat Complaint,Animal Services Office,Phone,Closed,05/30/2014 04:58:28 PM,05/30/2014 03:23:30 PM,05/30/2014 04:00:34 PM,05/30/2014 04:58:28 PM,"5106 VILLAGE SQUARE DR, AUSTIN, TX",5106,VILLAGE SQUARE,AUSTIN,78744,TRAVIS,3114854.36,10041876.18,30.18865233,-97.7432219,"(30.18865233, -97.7432219)",2,675A,MJ15,2
14-00104074,ACPROPER,Animal - Proper Care,Animal Services Office,Phone,New,05/30/2014 03:57:59 PM,05/30/2014 03:57:59 PM,05/30/2014 03:57:59 PM,,"7519 EASTCREST DR, AUSTIN, TX",7519,EASTCREST,AUSTIN,78752,TRAVIS,3124755.72940799,10096574.1328224,30.33836971,-97.70780653,"(30.33836971, -97.70780653)",4,526S,ML28,4
14-00104072,PRTRROWM,Tree Issue ROW/Maintenance (PARD),Parks & Recreation Department,Phone,New,05/30/2014 03:56:57 PM,05/30/2014 03:56:57 PM,05/30/2014 03:56:57 PM,,"CULLEN AVE & ARROYO SECO, AUSTIN, TX",,CULLEN AVE & ARROYO SECO,AUSTIN,78757,TRAVIS,3118568.76000001,10097775.03,30.34207077,-97.72732449,"(30.34207077, -97.72732449)",7,525U,MK28,7
14-00102078,CODECOMP,Code Compliance,Code Compliance,Phone,Closed,05/30/2014 03:55:52 PM,05/28/2014 11:16:23 AM,05/30/2014 03:55:53 PM,05/30/2014 03:55:52 PM,"800 TILLERY ST, AUSTIN, TX",800,TILLERY,AUSTIN,78702,TRAVIS,3126382.4435905,10068324.8083911,30.26061153,-97.70476714,"(30.26061153, -97.70476714)",3,616A,ML21,3
14-00104069,SWSDEADA,ARR Dead Animal Collection,Austin Resource Recovery,Phone,New,05/30/2014 03:53:51 PM,05/30/2014 03:53:51 PM,05/30/2014 03:53:51 PM,,"11900 JOLLYVILLE RD, AUSTIN, TX",11900,JOLLYVILLE,AUSTIN,78759,TRAVIS,3108692.04503695,10127174.9038965,30.4235195,-97.75646743,"(30.4235195, -97.75646743)",10,464M,MH35,10
14-00104066,SWSRECYC,ARR Missed Recycling,Austin Resource Recovery,Phone,New,05/30/2014 03:53:37 PM,05/30/2014 03:53:37 PM,05/30/2014 03:53:37 PM,,"4903 BUNDYHILL DR, AUSTIN, TX",4903,BUNDYHILL,AUSTIN,78723,TRAVIS,3135273.12488325,10079482.9659581,30.29070248,-97.6757704,"(30.29070248, -97.6757704)",1,586H,MM24,1
14-00102080,CODECOMP,Code Compliance,Code Compliance,Phone,Closed,05/30/2014 03:53:29 PM,05/28/2014 11:20:12 AM,05/30/2014 03:53:29 PM,05/30/2014 03:53:29 PM,"11441 N IH 35 SVRD NB, AUSTIN, TX",11441,35,AUSTIN,78753,TRAVIS,3135375.98999999,10111677.93,30.37919374,-97.67300533,"(30.37919374, -97.67300533)",1,496R,MM32,1
14-00104065,SWSYARDT,ARR Missed Yard Trimmings /Organics,Austin Resource Recovery,Phone,New,05/30/2014 03:53:16 PM,05/30/2014 03:53:16 PM,05/30/2014 03:53:16 PM,,"1405 W 32ND ST, AUSTIN, TX",1405,32ND,AUSTIN,78703,TRAVIS,3111575.50739066,10083162.3207324,30.30235102,-97.75056321,"(30.30235102, -97.75056321)",10,554Z,MH25,10
14-00102081,CODECOMP,Code Compliance,Code Compliance,Phone,Closed,05/30/2014 03:50:58 PM,05/28/2014 11:21:21 AM,05/30/2014 03:50:59 PM,05/30/2014 03:50:58 PM,"6600 AIRPORT BLVD, AUSTIN, TX",6600,AIRPORT,AUSTIN,78752,TRAVIS,3122330.71263976,10093645.8490641,30.33047746,-97.71571004,"(30.33047746, -97.71571004)",4,555D,MK27,4
14-00104060,PRMTPOOL,Park Maintenance - Pool Issues,Parks & Recreation Department,Phone,Open,05/30/2014 03:48:14 PM,05/30/2014 03:48:14 PM,05/30/2014 03:48:21 PM,,"2006 S 6TH ST, AUSTIN, TX",2006,6TH,AUSTIN,78704,TRAVIS,3107808.83337538,10063140.3802116,30.24755343,-97.7639611,"(30.24755343, -97.7639611)",9,614L,MH20,9
14-00104047,SBSIDERE,Sidewalk Repair,Public Works,Phone,Open,05/30/2014 03:47:17 PM,05/30/2014 03:31:34 PM,05/30/2014 03:47:18 PM,,"12605 SILVER CREEK DR, AUSTIN, TX",12605,SILVER CREEK,AUSTIN,78727,TRAVIS,3121802.18551897,10128344.2179532,30.42589207,-97.71479616,"(30.42589207, -97.71479616)",7,465M,MK35,7
14-00103894,ACINFORM,Animal Control - Assistance Request,Animal Services Office,Phone,Closed,05/30/2014 04:43:26 PM,05/30/2014 12:26:49 PM,05/30/2014 03:45:33 PM,05/30/2014 04:43:26 PM,"5721 AIRPORT BLVD, AUSTIN, TX",5721,AIRPORT,AUSTIN,78751,TRAVIS,3123431.99017021,10090006.1012679,30.32040109,-97.71249206,"(30.32040109, -97.71249206)",4,555M,MK26,4
14-00104052,CODECOMP,Code Compliance,Code Compliance,Phone,Closed,05/30/2014 03:42:12 PM,05/30/2014 03:37:45 PM,05/30/2014 03:42:13 PM,05/30/2014 03:42:12 PM,"5216 TOWER TRL, AUSTIN, TX",5216,TOWER,AUSTIN,78723,TRAVIS,3137096.40005833,10079442.5820208,30.29047159,-97.66999825,"(30.29047159, -97.66999825)",1,586H,MM24,1
14-00104056,SWSRECYC,ARR Missed Recycling,Austin Resource Recovery,Phone,New,05/30/2014 03:41:51 PM,05/30/2014 03:41:51 PM,05/30/2014 03:41:51 PM,,"932 E 53RD ST, AUSTIN, TX",932,53RD,AUSTIN,78751,TRAVIS,3123684.88121302,10087178.9133615,30.31261324,-97.71190191,"(30.31261324, -97.71190191)",4,555R,MK26,4
14-00103994,ACBITE2,Animal Bite,Animal Services Office,Phone,Closed,05/30/2014 04:38:26 PM,05/30/2014 02:30:18 PM,05/30/2014 03:40:32 PM,05/30/2014 04:38:26 PM,"4706 SANTA ANNA ST, AUSTIN, TX",4706,SANTA ANNA,AUSTIN,78721,TRAVIS,3131792.32354966,10073695.5787554,30.27502217,-97.68723201,"(30.27502217, -97.68723201)",1,586Q,MM23,1
14-00103448,WWREPORT,Water Waste Report,Austin Water Utility,Phone,Closed,05/30/2014 03:38:31 PM,05/29/2014 07:20:53 PM,05/30/2014 03:38:31 PM,05/30/2014 03:38:31 PM,"8308 MILLWAY DR, AUSTIN, TX 78757",8308,MILLWAY,AUSTIN,78757,TRAVIS,3115301.75,10107145,30.36803746,-97.73698518,"(30.36803746, -97.73698518)",7,495X,MJ31,7
14-00104053,ORSICABA,Ordinance Single-Use Carryout Bags,Austin Resource Recovery,Phone,Open,05/30/2014 03:38:09 PM,05/30/2014 03:38:09 PM,05/30/2014 03:38:09 PM,,"11066 PECAN PARK BLVD, AUSTIN, TX",11066,PECAN PARK,AUSTIN,78613,,3093739.4400644,10143552.3985213,30.46948313,-97.80271437,"(30.46948313, -97.80271437)",6,433C,MF39,6
